이름,가격 요약(자동),가슴,구매가,구매일,높이,다리길이,둘레길이,렌즈길이,밑단,밑위,보유,브랜드,브릿지길이,사이즈 요약,상위 카테고리,색상,소매,신발 사이즈,어깨,옵션,정가,제품 요약(자동),챙길이,총장,최종 편집 일시,카테고리,폭,허리,허벅지
나일론 원턱 팬츠 청록,"43,400원  (62,000원)",,"43,400",2023년 3월 29일,,,,,24,30,Yes,슬로우레코드하우스,,총장 102 / 허리 31.5 / 허벅지 31.5 / 밑위 30 / 밑단 24,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블루/네이비,,,,M,"62,000",슬로우레코드하우스 / M,,102,2025년 1월 2일 오전 11:08,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,31.5,31.5
TD5-PT02 원턱 스트링 팬츠 - 브라운,"53,500원  (73,500원)",,"53,500",2023년 3월 29일,,,,,28,36,Yes,토마스모어,,총장 103 / 허리 38 / 허벅지 36.5 / 밑위 36 / 밑단 28,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),브라운,,,,M,"73,500",토마스모어 / M,,103,2025년 1월 2일 오전 11:09,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,38,36.5
코튼 린넨 투 턱 와이드 팬츠 라이트 베이지,"34,600원  (46,900원)",,"34,600",2023년 4월 29일,,,,,24.5,30.5,Yes,무신사스탠다드,,총장 105 / 허리 40 / 허벅지 36.25 / 밑위 30.5 / 밑단 24.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,30,"46,900",무신사스탠다드 / 30,,105,2025년 1월 2일 오전 11:17,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,40,36.25
Traditional One Tuck Linen Denim _ natural,"59,000원  (59,000원)",,"59,000",2023년 7월 20일,,,,,25,31.5,Yes,레스겟모어,,총장 104.5 / 허리 39 / 허벅지 31.5 / 밑위 31.5 / 밑단 25,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,30,"59,000",레스겟모어 / 30,,104.5,2025년 1월 2일 오후 1:21,린넨/나일론 (https://www.notion.so/158abb41507c80228f69ee0c78e226e8?pvs=21),,39,31.5
"루즈핏 트레이닝 스웨트 팬츠 멜란지 그레이(기모) ","20,100원  (29,800원)",,"20,100",2023년 2월 1일,,,,,21,31.5,Yes,브렌슨,,총장 103 / 허리 36 / 허벅지 32.5 / 밑위 31.5 / 밑단 21,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),그레이/실버,,,,L,"29,800",브렌슨 / L,,103,2025년 1월 2일 오전 11:19,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,36,32.5
루즈핏 트레이닝 스웨트 팬츠 오트밀,"19,200원  (29,800원)",,"19,200",2023년 2월 1일,,,,,21,31.5,Yes,브렌슨,,총장 103 / 허리 36 / 허벅지 32.5 / 밑위 31.5 / 밑단 21,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,L,"29,800",브렌슨 / L,,103,2025년 1월 2일 오전 11:19,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,36,32.5
"UNI 바시티 와이드 조거팬츠 ","84,900원  (89,900원)",,"84,900",2022년 12월 8일,,,,,0,0,Yes,뉴발란스,,,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),올리브/그린,,,,S,"89,900",뉴발란스 / S,,0,2025년 1월 2일 오후 1:08,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,0,0
버뮤다원턱 하프팬츠 BLACK,"27,900원  (45,000원)",,"27,900",2023년 6월 30일,,,,,35,37,Yes,라퍼지스토어,,총장 56 / 허리 31 / 허벅지 37 / 밑위 37 / 밑단 35,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,M,"45,000",라퍼지스토어 / M,,56,2025년 1월 2일 오전 11:16,반바지 (https://www.notion.so/158abb41507c803c8695ca4f41ed8c47?pvs=21),,31,37
BERMUDA PANTS 708 CHARCOAL,"13,000원  (65,000원)",,"13,000",2023년 11월 11일,,,,,32,38.4,Yes,노티카,,총장 60 / 허리 35.5 / 허벅지 42.2 / 밑위 38.4 / 밑단 32,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,M,"65,000",노티카 / M,,60,2025년 1월 2일 오전 11:06,반바지 (https://www.notion.so/158abb41507c803c8695ca4f41ed8c47?pvs=21),,35.5,42.2
BERMUDA PANTS 708 BEIGE,"13,000원  (65,000원)",,"13,000",2023년 11월 11일,,,,,32,38.4,Yes,노티카,,총장 60 / 허리 35.5 / 허벅지 42.2 / 밑위 38.4 / 밑단 32,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,M,"65,000",노티카 / M,,60,2025년 1월 2일 오전 11:06,반바지 (https://www.notion.so/158abb41507c803c8695ca4f41ed8c47?pvs=21),,35.5,42.2
M1906RP Gray,"161,000원  (169,000원)",,"161,000",2023년 7월 21일,,,,,,,Yes,뉴발란스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),화이트,,260,,260,"169,000",뉴발란스 / 260,,,2025년 1월 2일 오후 1:37,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
MT580AC2 Khaki,"138,000원  (149,000원)",,"138,000",2023년 1월 30일,,,,,,,Yes,뉴발란스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),올리브/그린,,260,,260,"149,000",뉴발란스 / 260,,,2025년 1월 2일 오전 11:46,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
CM996BG,"125,100원  (139,000원)",,"125,100",2023년 11월 14일,,,,,,,Yes,뉴발란스,,신발 사이즈 265,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),그레이/실버,,265,,265,"139,000",뉴발란스 / 265,,,2025년 1월 2일 오후 1:37,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
BLUCHER 12 Leather Red,"275,500원  (290,000원)",,"275,500",2023년 10월 1일,,,,,,,Yes,그라더스,,신발 사이즈 255,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),레드,,255,,255,"290,000",그라더스 / 255,,,2025년 1월 2일 오후 2:02,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
